ID,Resume Summary,Resume Score based on Recommendations,Suspicious Wording Score,Recommendation Redundancy Score
51,"1. Resume Summary: The candidate is a recent Information Technology graduate with experience in hardware and software support, seeking a role as a database administrator. They possess strong problem-solving skills, knowledge of operating systems, and experience in process improvement implementation.

2. Objective: Seeking a database administrator role with a progressive organization where they can leverage their background in IT support and continue to develop their skills.

3. Experience: 
- Information Technology Specialist (02/2019 to Current) at Company Name, City, State: Coordinated software system installations, provided on-site technical support, and trained new employees.
- Shift Leader (11/2016 to Current) at Company Name, City, State: Assigned daily tasks, monitored activity, and maintained a clean and safe environment.
- Customer Service Representative (04/2017 to 09/2017) at Company Name, City, State: Contacted customers, operated a POS system, and answered customer questions.
- Chef (06/2016 to 02/2017) at Company Name, City, State: Prepared food, maintained a clean environment, and followed food safety procedures.

4. Accomplishments: None.

5. Education: 
- GED from Fremont Adult & Continuing Education, City, State.
- Information Technology from Unitek College, Fremont, City, State (2019).

6. Projects: None.

7. Skills: 
- Hardware updates
- Process improvement implementation
- Permissions management
- Software licenses and patches
- Excellent problem-solving skills
- Operating systems
- Task estimation
- GUI and tools
- Knowledge of streaming video platforms
- Timeline management
- Operational support
- Windows operating systems",8.0,8,0.17964131106988251
52,"1. Resume Summary: Strategic and analytical finance professional with 23+ years of experience in financial reporting, analysis, and project management, possessing excellent financial reporting, budget forecasting, management, and team-building skills.

2. Objective: None

3. Experience: 
- Corporate Accountant, Company Name (May 2015 - March 2016)
  - Handled all financial aspects of Biologics Development Services and 7 additional startup companies.
- VP of Finance/Operations, Company Name (September 2013 - Current)
  - Managed site operations, equipment, utilities, supplies, security, and human resources.
  - Controlled financial operations, including accounting, payroll, and financial forecasts.
- Controller/Office Manager, Company Name (September 2012 - Current)
  - Managed all financial aspects, including reporting directly to the CEO.
  - Assisted in implementing entire office setup, including working with contractors and purchasing equipment.
- IT Administrator, Company Name (September 2012 - May 2015)
  - Oversaw IT infrastructure, network applications, and software systems.
- Assistant Controller, Company Name (February 2009 - January 2013)
  - Managed a staff of 9 accounting employees and over 200 offsite employees in HR and payroll.
  - Assisted in providing documentation and schedules for external auditors.
- Property Accountant, Company Name (August 2001 - August 2008)
  - Assisted in monthly financial forecasts, annual budgeting, and integrated with tenants on billing issues.
- Controller/Accounting Manager, Company Name (January 1994 - August 2002)
  - Managed all functions of 5 separate companies, including A/P, A/R, collections, and financial statements.
- Charge Accountant, Company Name (August 1993 - January 1994)
  - Managed A/P, A/R, inventory, cost accounting, and purchasing.
- Production Manager/Accounting Supervisor, Company Name (May 1988 - August 1993)
  - Managed manufacturing/production control departments, including scheduling production flow and employee work schedules.

4. Accomplishments: 
- Increased cost-effectiveness by 28% through compliance enforcement and implementation of a new quality control system.
- Led the development of multiple financial reporting methods to measure productivity and efficiency.
- Increased efficiency of discrepancy investigations by designing a more accurate cash-forecasting system.

5. Education: 
- High School Diploma in Business Management/Accounting, Zephyrhills High School.

6. Projects: None

7. Skills: 
- Financial reporting, analysis, and project management
- Financial modeling, budgeting, and forecasting
- Financial operations, including accounting, payroll, and financial forecasts
- Human resources, including staff management and employee relations
- IT infrastructure, network applications, and software systems
- Inventory control, purchasing, and cost analysis
- General office management, including scheduling and meetings
- Financial statement preparation, management reports, and ADP payroll processing
- Cost accounting, G/L, A/P, A/R, and order entry
- Sales commissions, customer P.O. administration, and controlled sales
- Real estate, reconciling, reporting, and troubleshooting
- Year-end audits and financial statement preparation.",8.0,8,0.0
53,"1. Resume Summary: The candidate is a reliable and results-driven manager with over 8 years of experience in retail management, possessing exceptional work ethic, and a knack for building productive working relationships. They have a proven track record of managing teams, achieving sales goals, and maintaining safety standards.

2. Objective: None.

3. Experience: 
- Receiving Manager at Company Name (08/2020 - Current): Supervised warehouse team, managed inventory, and ensured safety standards.
- Closing Store Manager at Company Name (04/2019 - 08/2020): Oversaw daily operations, maintained retail store presentation, and motivated employees.
- Assistant General Manager at Company Name (04/2017 - 04/2018): Exceeded sales goals, implemented new revenue strategies, and maintained professional network.
- Operations Manager at Company Name (09/2014 - 04/2017): Managed company operations, assessed and optimized operations, and maintained store inventory levels.

4. Accomplishments: None.

5. Education: High School Diploma from Chief Sealth International High School, graduated in 2014.

6. Projects: None.

7. Skills: 
- Customer service
- Fluent in Spanish and English
- Equipment operations
- Stockroom organization
- Processing vendor returns
- Maintaining safety
- Sales floor operations understanding
- Operating equipment
- Logistics oversight
- Mentoring and training
- Planning production
- Team building
- Relationship building
- Store operations oversight
- Staff training and development
- Outstanding communication skills
- Retail inventory management
- Schedule management
- Safety standards
- Problem resolution
- First Aid/CPR
- Reliable and trustworthy
- Working collaboratively",8.0,8,0.01246753246753247
54,"1. Resume Summary: The candidate is an experienced accounting professional with twenty years of experience in inventory and manufacturing accounting, possessing strong skills in general accounting functions, process improvements, and team collaboration.

2. Objective: None

3. Experience: 
- Accountant at Company Name (04/2011 to 05/2017): Performed general accounting functions, reconciliations, and accruals. Participated in financial closing processes, budgeting, and implemented process improvements.
- Inventory Control Manager at Company Name (01/2008 to 01/2010): Rolled out a new ERP system, handled purchasing and receiving, and renegotiated payment terms with suppliers.
- Accounting Manager at Company Name (01/1995 to 01/2008): Prepared financial statements, managed payroll, and maintained human resource activities.
- Full Charge Bookkeeper at Company Name (01/1993 to 01/1995): Maintained financial records and performed general accounting functions.

4. Accomplishments: 
- Implemented and oversaw RGA spreadsheet for returns.
- Initiated and tracked claim process with carriers for damages.
- Successfully rebuilt trust with vendors/suppliers, resulting in improved cash flow and reduced late fees.
- Streamlined company processes and improved efficiency.

5. Education: Bachelor of Science in Business Administration with a focus on Accounting from Montclair State College.

6. Projects: None

7. Skills: 
- Accounting software: SAGE 100, Syspro, MAS90
- Microsoft Office: Excel, Outlook, Word
- General accounting: journal entries, reconciliations, accruals
- Inventory management: inventory levels, purchasing, receiving
- Financial management: budgeting, cost control, financial statements
- Human resources: payroll, insurance negotiations",8.0,8,0.0
55,"1. Resume Summary: The candidate is a seasoned banking professional with over 15 years of experience in mortgage operations, risk management, and team leadership. They possess strong communication skills, a strong sense of banking ethics, and a background in compliance and operational management.

2. Objective: The candidate appears to be seeking a leadership role in mortgage operations or a related field, where they can utilize their skills in team management, risk evaluation, and compliance to drive business growth and excellence.

3. Experience: 
- Mortgage Group Operations Manager, Banking Officer (2014 - Current): Managed mortgage pipelines, ensured compliance, and coached staff at Company Name.
- Home Mortgage Direct Mortgage Loan Counselor (2013 - 2014): Provided mortgage advice, executed referral processes, and assisted with client document follow-up at Company Name.
- Credit Analyst 1 (BBRC) (2011 - 2013): Analyzed credit information, provided financial analysis, and assisted underwriters with credit decisions at Company Name.
- Commercial Loan Documentation Specialist (2010 - 2011): Performed loan administration duties, reviewed credit approvals, and maintained customer care lines at Company Name.
- Banking Center Manager II AVP (2005 - 2009): Led a team of sales/service professionals, met and exceeded goals, and ensured audit/compliance procedures were followed at Company Name.
- Personal Banker, Officer (2001 - 2005): Provided financial solutions, prepared loan documents, and conducted closings at Company Name.

4. Accomplishments: 
- Increased mortgage pipeline by 75% within one year.
- Ranked 3rd out of 37 banking centers in operational excellence in a previous market.
- Selected by Senior Management as a contributor for the CFPB project.
- Promoted to Mortgage Operations Manager of Home Mortgage Direct within a year.

5. Education: 
- BS in Business Management from Guilford College (2015).
- Minor in Non-Profit Management.
- Completed Real Estate Fundamentals and Salesperson/Broker Course at Dan Mohr Estate School (2003).

6. Projects: None.

7. Skills: 
- Developing business, credit, and client service skills.
- Mortgage compliance and understanding of CFBP requirements.
- Mortgage loan origination and financial analysis.
- Proficient with Unifi system, policies, and sales.",9.0,8,0.04029684601113173
56,"1. Resume Summary: The candidate is an experienced IT professional with over 10 years of experience in the industry, specializing in IT support, network administration, and data migration. They have a strong background in hardware and software technologies, including INTEL and AMD processors, DELL, HP, IBM, and MICROSOFT software packages.

2. Objective: None (The resume does not explicitly state the candidate's career goals or the type of role they are seeking.)

3. Experience: 
- Information Technology Support Specialist/Network Specialist/PC Technician/IT Consultant at Company Name (01/2011 to Current)
  - Provided technical leadership for the design, deployment, and operation of IT hardware and software.
  - Built, implemented, and sold numerous computer systems.
  - Managed IT systems and devices, including DELL, HP, IBM, and MICROSOFT software packages.
- Customer Engineer at Company Name (12/2009 to 05/2010)
  - Prepared directory structures and applied permissions for users on the Network Attached Storage (NAS).
  - Sent email notifications to branch managers and non-branch users for centralization.
  - Used Carbon Copy to remote into user computers and move .pst files.
- Technical Desktop Support for ATT Upgrade Project at Company Name (07/2009 to 10/2009)
  - Installed Ingenico SigCap devices and flashed peripherals with updates.
  - Troubleshooted tickets using the Remedy application.
  - Imaged and configured computers for the 4QT09 rollout.
- Network Support for Recruiting Team at Company Name (12/2008 to 05/2009)
  - Led the deployment of 300 PCs and peripherals.
  - Documented inventory for the IT Manager.
  - Installed servers for the forest.

4. Accomplishments: None (The resume does not explicitly state any notable achievements or awards received by the candidate.)

5. Education: 
- Bachelor of Science in Information Technology, University of Phoenix (2011)
- Associate of Arts in Paralegal Network Engineering, Southern College (2001)
- Diploma, Southern Technical Institute (2002)
- MCSE, A+, NET+, and SEC+ certifications

6. Projects: 
- Apollo/SunTrust EIS Data Migration Project (Non-Branch)
  - Analyzed server space and data to determine needed space on the Network Attached Storage (NAS).
  - Used Robocopy scripts to copy user data from H: drive to new folder on the NAS.
  - Assisted in command center conference calls to verify branch teammates' access to H: and S: drives.

7. Skills: 
- A+, Active Directory, Apollo, ARMY, com, hardware, Data Migration, DELL, Email, Engineer, Flash, HP, IBM, Image, INTEL, Inventory, laptops, leadership, logging, meetings, MICROSOFT Software, access, MCSE, MOS, Outlook, SharePoint, Windows, migration, NDS, Network Attached Storage (NAS), network support, network, networks, Novel, Novell, Netware, pdf, peripherals, personnel, processors, receiving, recruiting, reporting, retail, servers, scripts, Shipping, installing Software, Systems Analyst, desktop support, Troubleshoot, type, upgrade, vb",9.0,8,0.034063079777365494
57,"1. Resume Summary: Experienced manager with excellent client and project management skills, having worked in various roles including management, personal training, and customer service. Skilled in communication, team supervision, and sales performance.

2. Objective: None.

3. Experience: 
- Manager at Company Name (May 2013 to Current): Managed new member enrollment, sales, merchandising, and staff supervision. 
- Manager at Company Name (November 2012 to May 2013): Oversaw the personal training department, sold and conducted training sessions, and ensured company targets were met.
- Personal Trainer at Company Name (January 2012 to November 2012): Taught clients proper exercise form and created programs for optimal results.
- Personal Trainer/Small Group Instructor at Company Name (January 2011 to January 2012): Delivered personal training sessions, taught group fitness classes, and drove business growth.
- Quality Assurance Specialist at Company Name (January 2009 to January 2010): Supervised and corrected orders to maintain quality controls.
- Verifications Specialist at Company Name (January 2008 to January 2009): Determined necessary documentation for background checks and confirmed they were forwarded to proper parties.
- Customer Service Associate at Company Name (January 2006 to January 2007): Provided service to patrons, handled transactions, and responded to customer needs.

4. Accomplishments: None.

5. Education: 
- Bachelor of Arts in Exercise Science from Hofstra (2012)
- Attended Nassau Community College for Psychology/Business (2016)

6. Projects: None.

7. Skills: 
- Proficient in Microsoft Windows and Office applications
- Excellent working knowledge of computer hardware and technology
- Certified in various fitness and health-related areas, including CPR/AED, personal training, lifestyle and weight management, and health coaching.",8.0,8,0.02782931354359926
58,"1. Resume Summary: HR Director with over 15 years of experience in multi-unit businesses, offering expertise in developing and implementing HR plans, conflict resolution, and employment protocol compliance. Skilled in HRIS applications, employee relations, staffing, and recruiting.

2. Objective: None.

3. Experience: 
- HR Director at Company Name (November 2007 to October 2014): Managed HR for a horse track and 8 off-track betting sites with 650 employees, enforcing compliance with federal and state laws, and creating fair HR policies and procedures.
- HR Generalist at Company Name (October 2004 to March 2008): Managed HR for assigned stations, divisions, and corporate personnel across the Southeast, approximately 2,000 employees, focusing on FMLA, recruitment, and employee relations.
- Benefits Administrator at Company Name (January 2004 to October 2004): Administered benefit plans for 27 newspapers and TV stations, approximately 3,500 employees, using PeopleSoft 8.0.
- HR Coordinator at Company Name (February 2001 to January 2004): Managed HR for 4 daily and 2 weekly newspapers, approximately 400 employees, focusing on payroll, recruitment, and benefits administration.

4. Accomplishments: None.

5. Education: 
- Newberry College, Mathematics and Computer Science
- Batesburg Leesville High School, H.S. Diploma, GPA: 3.5, Honor graduate

6. Projects: None.

7. Skills: 
- Proficient in ADP, Benefits, counseling, database, employee relations, hiring, HRIS, HR, meetings, Enterprise, newspapers, payroll, PeopleSoft 8.0, PeopleSoft HRMS, Performance management, personnel, policies, processes, Recruitment, reporting, safety, and TV.",8.0,8,0.17340754483611628
59,"1. Resume Summary: A dedicated business professional with over seven years of experience in marketing and customer service in the fitness industry, specializing in sales, leadership, and project management.

2. Objective: Seeking a senior leadership role in the fitness industry to utilize marketing, sales, and customer service skills to drive business growth and member engagement.

3. Experience: 
- Fitness Director at Company Name (2010 - Current): Managed staff, schedules, sales, and customer service for fitness and wellness services.
- Fitness Specialist/Member Service Specialist at Company Name (2007 - 2010): Worked with clients to design exercise programs, created marketing materials, and provided exceptional member service.
- Event Management at Company Name (2006 - 2008): Organized school athletic events, sold and distributed tickets, and provided game day experience.

4. Accomplishments: None.

5. Education: 
- Master's of Business Administration (MBA) in General Management from University of Phoenix (2012)
- Bachelor of Science Degree (BS) in Exercise Science from Seattle Pacific University (2008)

6. Projects: None.

7. Skills: 
- Proficient in Microsoft Office and Outlook
- Strong leadership and communication skills
- Project management
- Marketing and sales experience
- Problem-solving and goal setting
- Billing, payroll, and scheduling management
- Web content creation and management",9.0,8,0.1055287569573284
60,"1. Resume Summary: 
The candidate is a highly motivated and accomplished Business Professional with 10+ years of experience in providing leadership and management to diverse teams, with comprehensive experience in multiple aspects of business operations, project management, regulatory compliance, customer satisfaction, staff training, and procedure development/implementation.

2. Objective: 
None (The resume does not explicitly state the candidate's career goals or the type of role they are seeking.)

3. Experience: 
- Occupational Therapist (02/2014 to Current): Prescribed and implemented occupational therapy services to pediatric population, administered and interpreted evaluations, and prescribed, fitted, and trained medical devices for disabled persons.
- Senior Director of Operations (07/2008 to 09/2013): Oversaw operational management of ancillary services product line, directed multi-site branch office operations, established policy and procedure standards, and led region in multiple deficiency-free Medicare surveys.
- Healthcare Coordinator (01/2004 to 01/2008): Prescribed and implemented occupational therapy services to adult and geriatric population, managed staffing, team building, caseload development, integrations, and compliance.
- Co-Owner, Therapy Director, and Occupational Therapist at Building Bridges Therapy and Learning Centers: Created strategies to enhance company deliverables, managed client services, caseload development, marketing of services, orientations for new employees, financial oversight, and analysis.
- Regional Director: Responsible for operational, philosophical, and technical training and program development in Home Health, Outpatient, Hospice, and Skilled Nursing settings.

4. Accomplishments: 
- Increased gross revenue from $250,000 to 4 million annual from 2010 to 2013.
- Improved home health penetration throughout owned and managed senior living communities from less than 5 percent to 16 percent.
- Achieved same-store gross margin growth of 6 to 10% in therapy and 25% in home care.

5. Education: 
- Bachelor of Science in Occupational Therapy from Midwestern University (2004), graduated Suma Cum Laude with a GPA of 3.6.
- Master of Business Administration in Healthcare Management from the University of Phoenix (2014), graduated Magnum Cum Laude with a GPA of 3.89.
- Graduate Certificate in Accounting/CPA Exam Candidate (2015).

6. Projects: 
None (The resume does not explicitly mention any significant projects the candidate has worked on.)

7. Skills: 
- Accounting
- Acquisitions
- Art
- Balance
- Bridges
- Business Operations
- Business Plan
- Oral
- CPA
- Client
- Customer Satisfaction
- Documentation
- Financials
- Financial
- Team Building
- Leadership
- Director
- Marketing
- Market
- Memory
- Mentoring
- Mergers
- Network
- Nursing
- Policies
- Presentations
- Processes
- Program Development
- Quality
- Recruitment
- Reporting
- Sales
- Staffing
- Strategic
- Technical Training
- Vision",8.0,8,0.0
61,"1. Resume Summary: The candidate is a maintenance specialist and journeyman electrician with experience in electronics troubleshooting, electrical maintenance, and preventative maintenance. They have a military background, serving four years active duty and one year as a maintenance specialist at TWPC.

2. Objective: Seeking to retain the current position as a maintenance specialist at TWPC, utilizing leadership and technical skills to contribute to the organization.

3. Experience: 
- Maintenance Specialist/Technician at TWPC (09/2014 to Current)
- Logistics & Embarkation Rep at TWPC (10/2013 to 07/2014)
- Aviation Electronics Technician (09/2011 to 10/2013)

4. Accomplishments: 
- Became the Safety-supervisor for a work center of 63 Marines.
- Managed and supervised 12 Marines performing maintenance on equipment and three Marines performing logistics and embarkation operations.
- Coordinated set up multiple events for an entire squadron of about 500 Marines.
- Supplied an entire squadron with supplies for daily operations.

5. Education: 
- CONSOLIDATED AUTOMATED SUPPORT SYSTEM (CASS) ADVANCED MAINTENANCE/CALIBRATION INTERMEDIATE MAINTENANCE (October 2011)
- DIPLOMA from Sequoyah High School (November 2010)
- Advanced Electronics and Components (Pensacola, Florida)
- HIGH POWER DEVICE TEST SUBSYSTEM/RADAR INTERMEDIATE MAINTENANCE (August 2011)
- Fundamentals of Digital Logic by Correspondence (September 2011)
- RTCASS AN/USM702 OPERATION AND MAINTENANCE

6. Projects: None

7. Skills: 
- Basic electronics
- Calibration
- Conversion
- CPR certified
- DC electronics
- Leadership
- Team leader
- Logic
- Logistics
- Mathematics
- Office management
- Radar systems
- Reading and troubleshooting
- Safety procedures
- FM systems
- Security Clearance
- Supervisor
- Test equipment operation
- Troubleshooting
- Verbal communication",6.0,8,0.0
62,"1. Resume Summary: The candidate is an Aircraft Hydraulics Systems Journeyman with experience in healthcare and customer service, seeking a role as a Stocker/Receiver. They possess strong communication skills, safety awareness, and the ability to work independently or in a team.

2. Objective: Seeking a position as a Stocker/Receiver for Paris Walmart Super Center, utilizing their skills to enhance customer experience and contribute to company success.

3. Experience: 
- Home Health Care Provider (07/2019 to 02/2020): Provided compassionate care to clients, assisted with daily tasks, and managed health records.
- Aircraft Hydraulics Systems Journeyman (04/2016 to 05/2019): Performed inspections, serviced systems, and collaborated with flight crews to ensure smooth operations.
- Home Health Care Provider (02/2014 to 03/2016): Provided care to clients, assisted with daily tasks, and managed health records.
- Radiology Support Associate (02/2009 to 02/2011): Answered phone calls, relayed messages, and maintained a neat waiting room.
- Environmental Services Associate (02/2008 to 02/2009): Maintained clean environments, removed waste, and adhered to HIPAA guidelines.

4. Accomplishments: None.

5. Education: 
- High School Diploma: High School General Education (06/2006) from Grant Union High School.
- Associate of Science: Kinesiology (05/2013) from Paris Junior College.
- Graduation of Aircraft Hydraulics Systems: Aircraft Hydraulics Systems 2A635 (12/2016) from Sheppard Air Force Base.
- Associate of Applied Science: Mechatronics (Expected in 01/2022) from Paris Junior College.

6. Projects: None.

7. Skills: 
- JLG manlift operations
- Hands-on experience with CAM software
- Interpersonal, written, and verbal communication
- Ability to work independently or in a team
- Safety awareness
- Detail-oriented and well-organized
- Capable of heavy lifting",8.0,8,0.07769944341372914
63,"1. Resume Summary: Highly motivated and skilled pharmacy technician with extensive experience in customer service, administration, retail, long-term care, and hospital pharmacy. Proficient in MS Word, Excel, Access, and PowerPoint, with strong decision-making ability and attention to detail.

2. Objective: Seeking a challenging role as a pharmacy technician where skills and experience can be utilized to provide exceptional patient care and contribute to the success of the organization.

3. Experience: 
- Overnight Pharmacy Technician at Company Name (October 2014 to Current): Fill patient orders, process refill requests, take inventory, and compound IV orders.
- Pharmacy Technician Registry at Company Name (August 2014 to April 2015): Fill unit dose medications, prepare and refill anesthesia trays, and collect medications for Pyxis.
- IV Technician at Company Name (January 2014 to April 2015): Compound intravenous admixtures, label IV compounds, and restock supplies.
- Control Technician/Control EDK Technician/Fill Floor Technician at Company Name (April 2013 to January 2014): Fill and send narcotic prescription orders, take inventory of narcotics, and replenish missing drugs.
- Certified Pharmacy Technician at Company Name (July 2012 to May 2013): Verify prescriptions, count medication, label, and dispense.
- Administrative Assistant at Company Name (April 2012 to October 2012): Coordinate and supervise school functions, and provide professional demeanor.
- Cashier / Server at Company Name (May 2008 to January 2012): Cross-trained as cashier and wait staff, handled large cash amounts, and delivered exceptional customer service.

4. Accomplishments: Dean's list awardee for 4 consecutive quarters at Rasmussen College.

5. Education: Associate of Applied Science in Pharmacy from Rasmussen College (December 2013), with a GPA of 3.58.

6. Projects: None.

7. Skills: 
- Compounding all intravenous and chemotherapy admixtures
- Calculating and compounding pediatric admixtures and chemotherapy
- Maintaining a sterile environment for compounding IVs
- Inventory management
- Medication compounding expert
- Pharmaceutical storage awareness
- HIPAA trained
- MS Word, Excel, Access, and PowerPoint proficiency
- Strong decision-making ability
- Efficient and accurate
- Strong clinical background
- Excellent multi-tasker
- Works well under pressure
- Strong organizational skills
- Active listening skills
- Sharp problem solver
- Energetic work attitude
- Large cash/check deposits expert
- Customer service expert
- Adaptive team player
- Opening/closing procedures
- Focused on customer satisfaction
- Skilled multi-tasker
- Cash handling
- Reliable team worker
- Food and beverage handling expert
- Strong customer relationship builder
- Ability to work in a fast-paced environment
- Alcohol knowledge
- Strong leader",8.0,8,0.018701298701298705
64,"1. Resume Summary: The candidate is a highly skilled and experienced Transitional Housing Advocate with over 10 years of experience in providing services to culturally sensitive issues, case management, and advocacy. They possess strong interpersonal and teamwork skills, with the ability to adapt to demanding situations and maintain effective working relationships.

2. Objective: None.

3. Experience: 
- Transitional Housing Advocate (09/2013 - Current): Provided case management, identified barriers to housing, and offered ongoing education about domestic violence and sexual assault issues.
- Mental Health Support Specialist (05/2013 - 09/2013): Developed service recipients' basic living skills, coordinated schedules, and maintained documentation.
- Administrative Assistant (03/2013 - 06/2013): Transcribed meeting minutes and prepared documents for the Tribal Chairman's office.
- Community Liaison (06/2009 - 10/2012): Conducted client intakes, provided case management, and offered peer counseling to victims in crisis.
- Elders Support Coordinator (05/2007 - 06/2009): Maintained client hours, prepared reports, and provided transportation to the elderly.
- Technician III (01/2001 - 04/2007): Interviewed and explained laws to customers, evaluated individuals for physical and mental abilities, and provided customer service.

4. Accomplishments: 
- Facilitated Empowerment through Art classes for survivors.
- Facilitated Healthy Relationship classes/Parenting classes.
- Increased office organization by developing a more efficient database (RPMS).
- Coordinated office assistant functions for a team of 3 employees.

5. Education: 
- Associate of Science in Psychology from Truckee Community College (1995).
- Associate of Arts in General Studies from Southwestern Polytechnic Institute (1995).

6. Projects: None.

7. Skills: 
- Peer counseling
- Customer service
- Database management
- Documentation
- Internet Applications
- Excel
- Email
- Office software
- Outlook
- PowerPoint
- Publisher
- Microsoft Word
- Personnel management
- Policies
- Presentations
- Safety
- Transportation",8.0,8,0.02493506493506494
65,"1. Resume Summary: The candidate is a licensed insurance sales agent with over 10 years of experience in customer service, sales, and account management. They have a proven track record of meeting and exceeding sales goals, with expertise in resolving escalated customer service issues and providing exceptional follow-up to clients.

2. Objective: None (The resume does not explicitly state the candidate's career goals or the type of role they are seeking.)

3. Experience: 
- Licensed United Healthcare Insurance Sales Agent (Sep 2014 - Oct 2015): Provided services to clients, upselling/cross-selling health insurance products, and assisted with outbound campaigns to ensure customer satisfaction.
- Account Executive Sales Agent/FedEx Account (Mar 2014 - Sep 2014): Maintained and deepened existing customer relations, made outbound calls to engage customers with new products and services, and delivered client services using well-developed sales skills.
- Licensed United Healthcare Insurance Sales Agent (Sep 2013 - Mar 2014): Provided services to clients, upselling/cross-selling health insurance products, and assisted with outbound campaigns to ensure customer satisfaction.
- Customer Service Agent (Apr 2013 - Sep 2013): Handled pharmacy/pharmacist contacts via telephone, resolved insurance authorization and claims issues, and delivered exceptional customer service.
- Customer Service Task Specialist (Jul 2006 - Aug 2008): Made contact with creditors and clients, negotiated account terms, and collected payments.

4. Accomplishments: 
- Increased sales 13.46% above goal.
- Secured over 65 Shared Success Awards.
- Received several Sales Agent of the month Awards.
- Awarded numerous prizes/gifts for consistently meeting/exceeding sales goals.

5. Education: 
- Completed various courses and seminars in customer service, sales strategies, and computer skills.
- Banking and Customer Service Training Certificate, Wachovia Bank NA.
- Web/IVR Certificate, Central Piedmont Community College (2008).
- Career Readiness Silver Certificate, Goodwill Career Development Center (2013).
- Computer Office Information Systems Certificate, Central Piedmont Community College (2001).
- High School Equivalency Diploma, Central Piedmont Community College (2001) with a 3.75 GPA.

6. Projects: None (The resume does not mention any specific projects the candidate has worked on.)

7. Skills: 
- Time Management
- Effective Communication
- Trouble Shooting
- Problem Solving
- Cloud technology
- Skype
- Microsoft Office Suite
- Instant Messaging
- Web Chat
- Negotiating
- Up-sell
- Cross-Sell Ability
- Outlook Email
- Lotus Notes
- Quicken
- QuickBooks
- Customer Service
- Sales Skills
- Account Management
- Insurance
- Banking
- Customer Relations
- Public-Speaking
- Goal-Setting",8.0,8,0.006233766233766235
66,"1. Resume Summary: Results-driven and award-winning accounting and auditing professional with over ten years of experience, skilled in Generally Accepted Accounting Principles, Generally Accepted Auditing Standards, and financial analysis.

2. Objective: None.

3. Experience: 
- Accountant, Company Name (09/2015 to 03/2016): Evaluated financial processes, implemented procedural changes, and supervised staff members.
- Administrative Specialist II, Company Name (09/2014 to 09/2015): Managed accounting data, prepared bank deposits, and reviewed budgets.
- Auditor II, Company Name (04/2005 to 09/2014): Conducted audits for grant compliance, evaluated city departments, and assessed federal and state grant requirements.
- Accountant, Company Name (01/2003 to 04/2005): Prepared invoices, reconciled account balances, and analyzed financial data.

4. Accomplishments: 
- Won the bronze Knighton Award from the National Association of Local Government Auditors (NALGA) for auditing Emergency Medical Services (EMS).
- Recognized for excellence by the Association for Certified Fraud Examiners (ACFE) for reviewing the School District of Philadelphia's Charter School Office.

5. Education: Bachelor of Business Administration in Accounting, Fox School of Business, Temple University.

6. Projects: None.

7. Skills: Proficient in accounting, administrative tasks, data analysis, financial statements, Quickbooks, and video surveillance systems.",8.0,8,0.006233766233766235
67,"1. Resume Summary: IT Technology Specialist with extensive experience in Information Technology, possessing strong client and project management skills, and proficient in troubleshooting hardware and software issues.

2. Objective: None.

3. Experience: 
- IT Technology Specialist at Company Name (09/2015 to 04/2016): Monitored databases, led key projects, provided onsite training, and performed Tier 1-3 level support.
- Field Service Tech at Company Name (03/2014 to 04/2015): Provided Tier 1-3 level support, performed service and repair of company products, and managed telecom phone systems.
- Information Technology Specialist at Company Name (08/2010 to 09/2006 and 09/2006 to 08/2010): Provided hardware support, assisted clients with system upgrades, set up and maintained active directory requests, and offered technical support for website design and hosting.

4. Accomplishments: Successfully led key projects resulting in positive outcomes, and conducted analysis to address network issues leading to the installation of a T1 line.

5. Education: 
- Bachelor of Science in Business Management from National American University (August-05).
- Associate Degree in Business Computer Programming from Robeson Community College (May-92).

6. Projects: None.

7. Skills: Proficient in active directory, antivirus, C, cable, cat5, computer hardware, client, clients, email, front page, hard drives, hardware support, html, ids, internet access, local area network, layout, Domino, office applications, Microsoft office 2000, Windows 2000, Microsoft Windows 2003 Server, Windows XP, Network Security, Network, networking, OS, all pc hardware, phone system, Develop policies, POS, power supply, python, routers, scheduling, TCP/IP, technical support, desktop support, telecom, tops, trouble shooting, upgrades, upgrade, Vista, website design, and Web development and design.",9.0,8,0.09281385281385282
